source_relative_path	repository_path	category	legacy_pre_git	size_bytes	sha256
processing_1_pdb_source_audit/scripts/diagnose_rcsb_download.py	pipeline/processing_01/scripts/diagnose_rcsb_download.py	source	false	12710	ac3799caab18de602019af23701655babd3d5aa7e41ce44d292ec068561aa2ef
processing_1_pdb_source_audit/scripts/download_from_url_inventory.py	pipeline/processing_01/scripts/download_from_url_inventory.py	source	false	11179	1fe51ab431fca275908c212666b3c046d4169773bd71f44f09f984080b1962c1
processing_1_pdb_source_audit/scripts/download_pdb_archives_v2.py	pipeline/processing_01/scripts/download_pdb_archives_v2.py	source	false	15459	229fe41066b01398b5ec0f90aae137e890ca7c9c61a7fe17e8fd9c302bc0b19a
processing_1_pdb_source_audit/scripts/download_rcsb_archive.py	pipeline/processing_01/scripts/download_rcsb_archive.py	source	false	17799	43a3180d194dd8ded7da8536b5b68ab8a26e3bc8937536e86fc4bedc201b70cc
processing_1_pdb_source_audit/scripts/fix_archive_validation_bundle_summary.py	pipeline/processing_01/scripts/fix_archive_validation_bundle_summary.py	source	false	2519	1a2901a773d1211fdaeeeecbc08847778644ad478853d46111d1cd072e614fa4
processing_1_pdb_source_audit/scripts/fix_archive_validation_error_counts.py	pipeline/processing_01/scripts/fix_archive_validation_error_counts.py	source	false	904	2a08fffc9798f91a1c47c434a5664b3644bc872ca8e1a65ac5da568f4e67c0b4
processing_1_pdb_source_audit/scripts/start_full_downloads.sh	pipeline/processing_01/scripts/start_full_downloads.sh	source	false	1076	aa87dc730e84e454c2f059d389e4c845e7788b456775b408e5917fc8bcbac86c
processing_1_pdb_source_audit/scripts/start_mmcif_pdb_shards_v2.sh	pipeline/processing_01/scripts/start_mmcif_pdb_shards_v2.sh	source	false	713	b0ea9619ba7d9da856ca59815f6ae42407c8e80632b7b52d5182d26f3244f8c4
processing_1_pdb_source_audit/scripts/start_url_inventory_v3.sh	pipeline/processing_01/scripts/start_url_inventory_v3.sh	source	false	1051	bbf8f5669ae55b60bb07ecb280d7ad7911c077d0e155c5b9f85e0ba138a9a063
processing_1_pdb_source_audit/scripts/start_url_inventory_v3_restart_20260711_112900.sh	pipeline/processing_01/scripts/start_url_inventory_v3_restart_20260711_112900.sh	source	false	1471	bedd1a3d37d8bc9ecc5a5c2da4a4eb18118d6ed176c70d36a7ed8379e07159cd
processing_2_assembly_ready_structure_preparation/config/default.yaml	pipeline/processing_02/config/default.yaml	config_or_documentation	false	1606	8e1a5b61bbda38f09cc190ee175fd41d498f46d3b5576b35f738746c2b464ed4
processing_2_assembly_ready_structure_preparation/scripts/processing2_pipeline.py	pipeline/processing_02/scripts/processing2_pipeline.py	source	false	50602	482d513cdf56649771a8f0582f967f6d40addcc490da3df10efc2327924338ae
processing_2_assembly_ready_structure_preparation/tests/test_processing2.py	pipeline/processing_02/tests/test_processing2.py	source	false	584	6b89ed5382e328d2a530a7a8512c2e8b8f35cc086c635a4ce27b62d52f6fae1c
processing_03_direct_contact_qualification/config/default.yaml	pipeline/processing_03/config/default.yaml	config_or_documentation	false	1557	68d4c928013932b8212987f679e4d71a105b75f521b392f8c77a3f422388bd09
processing_03_direct_contact_qualification/plip_validation/scripts/finalize_processing3_plip.py	pipeline/processing_03/plip_validation/scripts/finalize_processing3_plip.py	source	false	4194	4b02389d4206d2f2bf7b1cc4089f6580c0f7393cb619ea4bb7384eb8aea8f22f
processing_03_direct_contact_qualification/plip_validation/scripts/monitor_finalize_processing3_plip.sh	pipeline/processing_03/plip_validation/scripts/monitor_finalize_processing3_plip.sh	source	false	1402	8da0db869d7c6ca7da3cd77dfc7a8472d00255164113886fbfb6cd9c40536c3b
processing_03_direct_contact_qualification/plip_validation/scripts/processing3_plip_runner.py	pipeline/processing_03/plip_validation/scripts/processing3_plip_runner.py	source	false	13882	d43738040befb4f38750ff8bff76271824d76296c6dcfa0ce6e4f79560c295b6
